DISTANCE_M,ELEVATION_M,NAME
2478.674,138.5012,Cottonwood Marble Canyon C
2487.957423,138.1746,Cottonwood Marble Canyon C
2497.240846,137.7578,Cottonwood Marble Canyon C
2506.524269,137.2142,Cottonwood Marble Canyon C
2515.807692,136.6233,Cottonwood Marble Canyon C
2525.091116,136.0976,Cottonwood Marble Canyon C
2534.374539,135.6454,Cottonwood Marble Canyon C
2543.657962,135.078,Cottonwood Marble Canyon C
2552.941385,134.3802,Cottonwood Marble Canyon C
2562.224808,133.9393,Cottonwood Marble Canyon C
2571.508232,133.424,Cottonwood Marble Canyon C
2580.791655,132.8444,Cottonwood Marble Canyon C
2590.075078,132.3351,Cottonwood Marble Canyon C
2599.358501,131.9563,Cottonwood Marble Canyon C
2608.641925,131.7388,Cottonwood Marble Canyon C
2617.925348,131.5517,Cottonwood Marble Canyon C
2627.208771,131.2614,Cottonwood Marble Canyon C
2636.492194,130.5626,Cottonwood Marble Canyon C
2645.775617,130.0071,Cottonwood Marble Canyon C
2655.059041,129.4424,Cottonwood Marble Canyon C
2664.342464,129.149,Cottonwood Marble Canyon C
2673.625887,129.0419,Cottonwood Marble Canyon C
2682.90931,128.9524,Cottonwood Marble Canyon C
2692.192734,128.7463,Cottonwood Marble Canyon C
2701.476157,128.4227,Cottonwood Marble Canyon C
2710.75958,127.7604,Cottonwood Marble Canyon C
2720.043003,127.3364,Cottonwood Marble Canyon C
2729.326426,126.9492,Cottonwood Marble Canyon C
2738.60985,126.6567,Cottonwood Marble Canyon C
2747.893273,126.4989,Cottonwood Marble Canyon C
2757.176696,126.3798,Cottonwood Marble Canyon C
2766.460119,126.2287,Cottonwood Marble Canyon C
2775.743543,126.0412,Cottonwood Marble Canyon C
2785.026966,125.4326,Cottonwood Marble Canyon C
2794.310389,124.7319,Cottonwood Marble Canyon C
2803.593812,123.9747,Cottonwood Marble Canyon C
2812.877235,123.2643,Cottonwood Marble Canyon C
2822.160659,122.8426,Cottonwood Marble Canyon C
2831.444082,122.7541,Cottonwood Marble Canyon C
2840.727505,122.7218,Cottonwood Marble Canyon C
2850.010928,122.654,Cottonwood Marble Canyon C
2859.294351,122.1336,Cottonwood Marble Canyon C
2868.577775,121.393,Cottonwood Marble Canyon C
2877.861198,120.9024,Cottonwood Marble Canyon C
2887.144621,120.4666,Cottonwood Marble Canyon C
2896.428044,120.1344,Cottonwood Marble Canyon C
2905.711468,119.8923,Cottonwood Marble Canyon C
2914.994891,119.7064,Cottonwood Marble Canyon C
2924.278314,119.5151,Cottonwood Marble Canyon C
2933.561737,119.294,Cottonwood Marble Canyon C
2942.84516,118.8708,Cottonwood Marble Canyon C
2952.128584,118.1691,Cottonwood Marble Canyon C
2961.412007,117.6162,Cottonwood Marble Canyon C
2970.69543,117.164,Cottonwood Marble Canyon C
2979.978853,116.8677,Cottonwood Marble Canyon C
2989.262277,116.733,Cottonwood Marble Canyon C
2998.5457,116.5932,Cottonwood Marble Canyon C
3007.829123,116.4665,Cottonwood Marble Canyon C
3017.112546,116.1591,Cottonwood Marble Canyon C
3026.395969,115.1884,Cottonwood Marble Canyon C
3035.679393,114.4016,Cottonwood Marble Canyon C
3044.962816,114.0033,Cottonwood Marble Canyon C
3054.246239,113.8889,Cottonwood Marble Canyon C
3063.529662,113.8021,Cottonwood Marble Canyon C
3072.813086,113.7342,Cottonwood Marble Canyon C
3082.096509,113.6444,Cottonwood Marble Canyon C
3091.379932,113.5623,Cottonwood Marble Canyon C
3100.663355,113.2748,Cottonwood Marble Canyon C
3109.946778,112.8471,Cottonwood Marble Canyon C
3119.230202,112.2756,Cottonwood Marble Canyon C
3128.513625,111.6769,Cottonwood Marble Canyon C
3137.797048,111.2056,Cottonwood Marble Canyon C
3147.080471,110.9262,Cottonwood Marble Canyon C
3156.363895,110.7614,Cottonwood Marble Canyon C
3165.647318,110.6116,Cottonwood Marble Canyon C
3174.930741,110.1179,Cottonwood Marble Canyon C
3184.214164,109.1179,Cottonwood Marble Canyon C
3193.497587,108.1453,Cottonwood Marble Canyon C
